low,high,open,close,volumefrom,volumeto,macd,macds,macdh,rsi,sma_50,SMA_100
135.11,136.06,135.22,135.75,387.24,52587.55,-0.48062602221085626,-0.681289702596424,0.4013273607711354,49.86141620117892,136.43319999999997,143.20039999999995
135.2,135.97,135.75,135.61,1443.5,195448.92,-0.4146649123644863,-0.6279647445444748,0.426599664359977,48.91056855749916,136.36939999999996,143.09529999999995
135.53,137.81,135.61,137.22,4408.72,603666.35,-0.2298672318945023,-0.5483452420078371,0.6369560202266695,58.671267815885265,136.36259999999996,143.00349999999995
137.22,138.5,137.22,137.39,5423.45,747323.2,-0.06890621815972509,-0.4524574372318143,0.7671024381441784,59.550038783323075,136.36699999999996,142.92489999999995
137.32,137.73,137.39,137.53,1727.25,237696.89,0.06915281041477783,-0.34813538769692515,0.834576396223406,60.29871151756728,136.39839999999995,142.84269999999995
137.35,137.81,137.53,137.4,2732.89,376141.43,0.16616245476387803,-0.2452758192003704,0.8228765479284968,59.202947000786644,136.40699999999993,142.75679999999994
137.26,137.92,137.4,137.85,2206.4,303489.38,0.27616252426491883,-0.14098815050374844,0.8343013495373346,61.79131005991669,136.43059999999994,142.67679999999996
137.33,138.39,137.85,137.63,1078.11,148615.46,0.34165126676512614,-0.0444602670473344,0.7722230676249211,59.79398500955439,136.46019999999996,142.59899999999993
137.63,139.83,137.63,139.19,2711.64,376291.15,0.5134865038258454,0.06712908712974229,0.8927148333922061,67.75355770303749,136.51759999999996,142.52179999999996
135.28,139.19,139.19,137.04,4264.5,584845.04,0.47078414426860604,0.14786009855892768,0.6458480914193567,52.36663051641776,136.50399999999993,142.41879999999995
136.7,137.12,137.04,136.74,632.63,86647.62,0.40803513297950644,0.19989510544377181,0.41628005507146926,50.63853245467418,136.48479999999995,142.31599999999995
135.94,137.06,136.74,136.19,1563.43,213553.12,0.3103549778283252,0.2219870799209299,0.17673579581479065,47.541051439107164,136.48239999999993,142.20789999999997
136.09,136.6,136.19,136.58,4223.16,575640.57,0.26139483310308265,0.22986863055743106,0.06305240509130317,49.882082418132605,136.48099999999994,142.10399999999996
135.43,136.58,136.58,135.47,2990.64,407027.35,0.13152166426868916,0.2101992372995417,-0.1573551460617051,43.88005715893949,136.39119999999994,141.99019999999996
134.25,135.68,135.47,134.95,3242.86,438255.04,-0.013205877375185082,0.16551821436434017,-0.3574481834790505,41.36879985313917,136.31979999999993,141.87429999999995
125.66,134.95,134.95,128.97,26260.53,3405641.52,-0.6034283452138993,0.011728902447986854,-1.2303144953237724,24.209666273696342,136.09359999999992,141.63829999999996
128.19,130.98,128.97,130.94,6666.01,866360.88,-0.9018415284350567,-0.17098518372929233,-1.4617126894115287,33.931859387362124,135.92519999999993,141.39049999999995
130.1,131.72,130.94,131.72,1311.38,171359.56,-1.06314703665484,-0.34941755431492566,-1.4274589646798286,37.35817889363508,135.81459999999993,141.14169999999996
